slug,type,title,city,priceEuros,priceCents,status,area,land,rooms,beds,dpeClass,photoCount,photoUrls
etrepagny-maison-6038,maison,Maison — 85 m² — Etrepagny,Etrepagny,189000,18900000,a_vendre,85,85,7,3,,2,/uploads/fd66c728-d2b3-4f4a-8564-c60942f9b412.jpeg|/uploads/2039225d-e212-4bf9-b115-b9d87ae222cd.jpeg
etrepagny-maison-6034,maison,Maison — 169 m² — Etrepagny,Etrepagny,189000,18900000,a_vendre,169,145,9,4,,13,/uploads/fbe3424f-7a32-4229-a2f4-c8158b180959.jpeg|/uploads/d4252e76-c037-4859-806b-b6ac706930f6.jpeg|/uploads/c15e69b2-5611-4d94-a63c-0d92f2d6bcfb.jpeg|/uploads/83fcd042-62ad-467d-96d6-224cf12a9b1b.jpeg|/uploads/5bd7e5bc-74bf-47d0-8816-f19fff83bf1c.jpeg|/uploads/546b7eeb-32ea-4060-9061-03cece2cad98.jpeg|/uploads/cc4b4611-4276-4860-b37e-be699fcfd019.jpeg|/uploads/94752990-8016-48d3-aaf6-5e648e67535f.jpeg|/uploads/fc48d900-9805-4be3-99d8-51a5e6974638.jpeg|/uploads/6f88e9b7-b922-45b0-8e03-537f5095c483.jpeg|/uploads/b736ace1-9851-4069-9dee-cf1aa9fb04db.jpeg|/uploads/eafe48d3-2df6-4960-b347-7f841d1a6b8d.jpeg|/uploads/97d16edc-6723-4b59-9377-6ea7e89379a4.jpeg
gisors-maison-6022,maison,Maison — 113 m² — Gisors,Gisors,153500,15350000,a_vendre,113,1192,7,6,,19,/uploads/ad520c38-be6b-4344-9fff-8fdf2d4ef422.jpg|/uploads/b05d44e4-bf9e-47a0-b750-6dcda36c341b.jpg|/uploads/b902f504-a1d3-4574-90e0-61df38b68353.jpg|/uploads/58eaefd2-01fc-4822-b26d-e3f47e1dfd14.jpg|/uploads/c73f6cbf-97a3-49dd-ab43-03d5921691c5.jpg|/uploads/86e40779-73f5-46ed-934f-f8db9f0d527c.jpg|/uploads/df8c12c2-d6ef-4e9b-a5f0-2a049073b19d.jpg|/uploads/733bf9bf-6c29-4adc-b048-4ca90b09e02f.jpg|/uploads/2fea8c7c-119d-4ccf-8f65-245a3967e206.jpg|/uploads/c7601c28-2959-4cb6-bcd7-4d7a3afb6530.jpg|/uploads/70b87353-93d8-4b06-b6ef-dcc986bd863b.jpg|/uploads/84d8dd24-2135-49b6-8aa2-698269efe5a4.jpg|/uploads/67437289-6930-46f9-b948-61d6d8606b13.jpg|/uploads/901808b3-14d7-480b-882d-bcd3b9ac633b.jpg|/uploads/459a25de-194d-407a-ada8-a32e748121ec.jpg|/uploads/383704eb-c811-4009-9632-882911e93414.jpg|/uploads/621e5b15-8472-43a8-90f4-c461a37ad118.jpg|/uploads/de8040ec-e1fc-44eb-b06e-0f8b360c19e8.jpg|/uploads/cfa88023-751e-444b-8ea0-587e69793330.jpg
gisors-appartement-6024,appartement,Appartement — 48 m² — Gisors,Gisors,154000,15400000,a_vendre,48,49,2,1,,12,/uploads/002f64dd-a0af-47b4-9a85-221c4cb46237.jpeg|/uploads/c40f0f57-875f-4340-8f13-4b8c69c9a9ec.jpeg|/uploads/6cc88e0e-c2e6-4759-876f-9eb6cec5db28.jpeg|/uploads/66237b05-abd6-44f4-95ac-aa9d5677a33d.jpeg|/uploads/ff1938f6-28d7-4464-8fc0-3ce65a711586.jpeg|/uploads/623b76f4-615a-43ae-9047-af3e4145034f.jpeg|/uploads/bfe9592f-4eba-4100-b3ea-b51989bc8fca.jpeg|/uploads/7d46e5c9-18f5-4caa-a6d5-7883c5d59033.jpeg|/uploads/19c5f5db-ac96-4f95-bd49-e54f1dc474fc.jpg|/uploads/a07a821e-23d7-4463-bad4-4fd41a704f97.jpeg|/uploads/3cd81967-cbeb-4d1e-8405-423c8c610ffb.jpg|/uploads/7100e162-5448-4e4e-84db-d45ae057f21d.jpeg
gisors-appartement-5744,appartement,Appartement — 106 m² — Gisors,Gisors,158000,15800000,a_vendre,106,0,4,2,,9,/uploads/aa20b6ef-0e91-4cee-8dc5-41bfd9fb788b.jpg|/uploads/aadcb38e-0b58-4ba4-8920-82472d8fe0f0.jpg|/uploads/72209e8b-ee7f-448e-96e1-358b13182dbb.jpg|/uploads/8e53eccd-65c7-49bf-8740-13a7df24fdb5.jpg|/uploads/53c3fa2d-52fe-4596-b9c4-31576f12bf00.jpg|/uploads/b3ae6b4d-5844-4e9c-912f-12152d70ac53.jpg|/uploads/62d865b3-998a-4a5f-9754-48af024cdefe.jpg|/uploads/790df3f7-57a1-4298-ac8b-34467b6c89ad.jpg|/uploads/ee07e003-4533-471f-a396-bf7c146c5eb8.jpg
gisors-maison-5998,maison,Maison — 91 m² — Gisors,Gisors,159000,15900000,a_vendre,91,606,4,2,,14,/uploads/658620ca-6e2c-476e-bff8-4c7721558985.jpg|/uploads/7d03e4bc-203e-4722-9549-1f7e17710c46.jpg|/uploads/67f9246c-ffce-4585-969c-05ec55951774.jpg|/uploads/e2c8cc56-641a-41a5-89bb-2c1aa98266f7.jpg|/uploads/600429f1-27be-42b1-8ec6-fde24a9a3801.jpg|/uploads/a8760794-4fb9-48e2-bd0e-43b0ad61a683.jpg|/uploads/63f0078f-fe55-4538-8d8d-f8aa19bbc554.jpg|/uploads/f7895c8f-b3e1-4135-aaa1-7d492c258129.jpg|/uploads/e7fae150-3e9f-4a0b-9999-9907bcdfa295.jpg|/uploads/7c9d6fa2-9d82-474f-a813-b413d3716eb9.jpg|/uploads/daec7d0f-fc99-4059-b668-4f143caa9a3e.jpg|/uploads/890d812b-4c5a-4fae-ac49-bec713ae0f4c.jpg|/uploads/46af087d-7263-4f71-aeda-a8e1f45ea31a.jpg|/uploads/20ccd629-0843-4c7c-b82c-ecc541a25545.jpg
gisors-maison-6019,maison,Maison — 47 m² — Gisors,Gisors,172000,17200000,a_vendre,47,103,3,2,,10,/uploads/3de0d902-1d49-4a82-8855-dddec4206cb6.jpeg|/uploads/1da5db54-4e3f-4b74-a4f5-78a3ef6f938c.jpg|/uploads/0927fd66-c01f-4592-a3cc-e3f7955ef853.jpg|/uploads/4ac63868-9b72-42f6-91c6-aa2820daa115.jpg|/uploads/014d6652-fcc9-4375-9506-0c0b2315aaef.jpg|/uploads/5375a2b6-439a-4b6a-89b1-3c9cc137b13c.jpg|/uploads/6451b1bd-b5ae-4a9c-a6f9-802c0392358f.jpg|/uploads/9f0b72a2-38f3-472c-91b4-de7941047e1c.jpeg|/uploads/a87e4ce3-545c-48c6-a8b1-ce3104031c99.jpeg|/uploads/1359e808-9fa7-4ee5-af0d-b19c3a979401.jpg
gisors-maison-5942,maison,Maison — 165 m² — Gisors,Gisors,179000,17900000,a_vendre,165,0,4,0,,6,/uploads/1955569c-f4db-41e1-92ef-85fe1eb86411.jpg|/uploads/004f6122-eb40-4a8d-92e7-0e4afe299576.jpg|/uploads/15c6f055-401d-49b5-8246-7f64d5546b95.jpg|/uploads/89a492d8-a3da-40be-bc50-640e5f37616e.jpg|/uploads/60f176ae-80a1-4542-9bc3-af07ff6236aa.jpg|/uploads/829f6563-0f02-4435-9235-f21352ced448.jpg
gisors-maison-6015,maison,Maison — 101 m² — Gisors,Gisors,179000,17900000,a_vendre,101,1758,6,4,,14,/uploads/adaf2844-e493-42f9-bcb9-0a3fe72a3ba5.jpeg|/uploads/d426505f-6f37-46a7-b7e4-c36e9f0d920c.jpeg|/uploads/a09257cf-e8d6-4275-9ff0-09ade2b0560c.jpg|/uploads/a6cc0ef6-e53c-46d1-927c-e3cd1d56151b.jpg|/uploads/3fde61af-4896-4b45-800f-efaf488feaae.jpeg|/uploads/32a34480-2944-423e-bc79-00c1fb364455.jpeg|/uploads/dd88e642-c5e0-41f4-961e-351d2d8a0ae4.jpeg|/uploads/af11523e-1f6d-49bb-8574-3caa04bb4d5c.jpg|/uploads/32960e80-2119-4e5e-b54a-8e422abdaebe.jpg|/uploads/8e049f96-4455-49ac-aa68-3712cbdd36f7.jpg|/uploads/adcfb4c7-7992-4a64-ae3c-ac707c4f19c0.jpg|/uploads/25d0b950-d0c1-4fe0-b9f8-49ecbbc67982.jpg|/uploads/b117e937-0ebf-44b0-a407-56526a764f9c.jpeg|/uploads/9d4e74f4-f3ba-4c18-8193-186ac42e091b.jpg
gisors-maison-6049,maison,Maison — 80 m² — Gisors,Gisors,189000,18900000,a_vendre,80,251,2,1,,11,/uploads/e0309509-4104-4ef8-9f4c-44972ad52c89.jpeg|/uploads/5b978327-1f2c-4695-a7c3-408de2b0cd90.jpeg|/uploads/c97dfac2-122c-4b39-99c6-a1023a8adf9f.jpeg|/uploads/a0b3979a-3c18-4738-bf8d-b7c8a895d9a4.jpeg|/uploads/0fe8fe70-b0c4-4e99-bd30-e3156fb13e0c.jpeg|/uploads/34cfedf6-3a07-4d7e-ba3f-c567c857de09.jpeg|/uploads/84aec91e-61de-4c23-b83d-e4bc5cb57e85.jpeg|/uploads/17362392-46ae-4fd2-82f4-4cab68a25f05.jpeg|/uploads/704b9cd0-cf8e-4534-aacb-6979a93368bf.jpeg|/uploads/96625d7d-e982-4cbc-a0a7-8053ebdf8147.jpeg|/uploads/09b57fcd-9ac0-4ddc-84c9-822f5128d4e4.jpeg
gisors-maison-5971,maison,Maison — 125 m² — Gisors,Gisors,189500,18950000,a_vendre,125,1500,6,3,,13,/uploads/06065842-366d-4180-9559-a10d67b9d60e.jpeg|/uploads/53eea71f-de01-4bb9-ad58-f6c6c5bdbcd0.jpg|/uploads/c8df1652-a695-425a-852d-720f5e124a1e.jpg|/uploads/f0c5f46c-5969-4d1d-939b-7d9447b76e06.jpg|/uploads/d1b64171-c7c7-4d1d-a36c-40ba534bb0c2.jpg|/uploads/d2f716c0-94f6-4198-b541-eb180ac2b237.jpg|/uploads/8ef8d949-d97c-4f8a-95cb-c983f9bf7da6.jpg|/uploads/47373ce9-87fb-4c11-9bed-2262ffe9afdf.jpg|/uploads/163473a4-7b7f-42b8-8af4-99a91116926d.jpg|/uploads/bbd2bd7d-b70a-4c8e-93e6-1b8052d7884a.jpg|/uploads/f2a77bb3-36c9-4e2f-8625-7f6b3360b837.jpg|/uploads/105ffce4-4487-4e46-8b35-9ddbb5d0d130.jpg|/uploads/2a50e380-f7ac-46e8-9320-e9fc0d9052f1.jpg
gisors-maison-6044,maison,Maison — 93 m² — Gisors,Gisors,195000,19500000,a_vendre,93,1022,6,3,,8,/uploads/2b4bdbf7-2dcb-47a0-8a4e-adc3670d5d3f.jpg|/uploads/db2256b8-5859-4607-99d2-f816ab791d68.jpg|/uploads/60f18427-f1e3-4a36-943e-8f34ffce86ca.jpg|/uploads/f9fb75ea-d3a6-4539-b853-ea8b819eeb03.jpg|/uploads/67ab0072-8ab2-4950-b638-a593620de2b8.jpg|/uploads/38cab926-77b8-49ce-8bad-ab68edbdd8dd.jpg|/uploads/af79dee6-6260-448f-90f7-f3bcdab0e04d.jpg|/uploads/ac06d2eb-8ff0-4374-b4e1-80c45cd08060.jpg
gisors-maison-6070,maison,Maison — 89 m² — Gisors,Gisors,195000,19500000,a_vendre,89,1133,5,3,,9,/uploads/f76b4245-ddff-4afc-9d77-e9e6be6a7242.jpeg|/uploads/35036d94-de66-4841-9610-31bbddcc4f52.jpeg|/uploads/1e439dd9-4ae9-4bf9-a0da-8f22fab6d4ef.jpg|/uploads/0e068320-82dd-44b5-b096-a32e0d52ce21.jpg|/uploads/e5dce9c8-df3e-47da-b128-c3a6b894c850.jpg|/uploads/8c570313-4c83-47e6-8133-b1b71f63e301.jpg|/uploads/389d2bc5-b6e0-4d9d-86ed-33fdcabe3677.jpg|/uploads/104a4670-f4b6-4712-9fc6-d02ef3230114.jpg|/uploads/8b5f12f9-443e-47ea-9e2d-291bd9172381.jpg
gisors-maison-5986,maison,Maison — 67 m² — Gisors,Gisors,199500,19950000,a_vendre,67,489,4,2,,12,/uploads/df5438d3-a899-4457-92a4-28270d88e563.jpg|/uploads/ea1c4b34-a737-4906-a753-37157813a182.jpg|/uploads/f7bfbc76-85c4-4370-8bda-0effd2b92205.jpg|/uploads/2564ea1c-a304-4415-816f-faed721e6d29.jpg|/uploads/af02ea74-d95c-4650-8aef-146096177eea.jpg|/uploads/17f0bb48-3fcf-43ff-a181-fcbbd94eb4c8.jpg|/uploads/1c965ded-8a57-475b-8222-1d3a5547e454.jpg|/uploads/0d3c325f-87dd-4721-b9e6-0ec5258a279e.jpg|/uploads/add9361a-f3f1-4dff-96ea-fb2be5bc4b3c.jpg|/uploads/d6a02aab-f30c-42f7-aa92-25bf0966a3d7.jpg|/uploads/109c88c0-138d-47ef-8d0d-944a1d646608.jpg|/uploads/58b31cd3-eacf-4db9-9e51-fb4c41c53506.jpg
gisors-maison-5827,maison,Maison — 71 m² — Gisors,Gisors,210000,21000000,a_vendre,71,10226,4,2,,10,/uploads/35f0647b-5259-441a-90ce-1ff4cb38c9de.jpg|/uploads/bce72eab-936e-4518-a7e3-6773ab961d3f.jpg|/uploads/af760736-761e-4664-965a-d82c4b65e508.jpg|/uploads/5d6d6c42-a5b3-4f6c-9266-cc12a06e6c5e.jpg|/uploads/415aa5e9-e7b2-4618-9375-943bcf99234e.jpg|/uploads/ae7d41d8-1b62-466a-8c84-f37298c0d7f4.jpg|/uploads/a6d056c1-78a2-43e9-a1e9-39ca7c4ac211.jpg|/uploads/2f41db35-0983-414c-8a3b-ef80e2c722c9.jpg|/uploads/608c0e84-3c32-45db-aa1b-5848667463f5.jpg|/uploads/eabd25c9-ec18-4e5a-b547-d8fbabb56f4a.jpg
gisors-maison-6064,maison,Maison — 113 m² — Gisors,Gisors,215000,21500000,a_vendre,113,1819,5,3,,16,/uploads/b585af07-3808-4af5-8112-f64a423ad60f.jpg|/uploads/9075dea2-b926-4ad0-97aa-34caaae1a498.jpeg|/uploads/6cb52d6d-aa9b-42c6-8bf8-9f64259d552a.jpeg|/uploads/0efa0906-7146-4940-913c-5e31ff5daae7.jpg|/uploads/08399663-a65b-4304-9127-376e0118a6c3.jpeg|/uploads/80c060dc-1237-4634-9024-97fcab73a95c.jpeg|/uploads/0847e166-f3c0-44ac-ab96-6f2ecf482989.jpeg|/uploads/5139730a-83d1-4809-87c9-d94a115573c4.jpg|/uploads/c7142ec5-2406-4c35-b2b1-5870c4f7e5de.jpeg|/uploads/b50ec81f-fba0-4027-802e-f0f8592f03f9.jpg|/uploads/ed5c21bb-4023-42ca-afaf-a1018fb1abc2.jpg|/uploads/06833a4c-5de6-49bf-b487-29e8b8e9543f.jpg|/uploads/f5aaa299-b892-40c2-a7ce-f15afdf978b8.jpg|/uploads/35cab467-ebad-4624-8f65-0a37664fd973.jpg|/uploads/bc92ea66-718f-4ead-93ea-4450f7ba504a.jpg|/uploads/4f24cc39-e3b1-490c-adee-10ae011e5f35.jpg
gisors-maison-5847,maison,Maison — 98 m² — Gisors,Gisors,219000,21900000,a_vendre,98,965,5,3,,13,/uploads/e8cc8373-69f4-4f00-b177-780fc4ffd6b0.jpg|/uploads/8bd08749-4b27-4eb1-922c-72046ab9e049.jpg|/uploads/03933568-f785-4cd5-9f14-8ee1a2f817b2.jpg|/uploads/13b7a0ff-514e-46e0-a78b-365687aabfaf.jpg|/uploads/f621a368-ddf2-4ae7-9a4b-b2dc30989574.jpg|/uploads/063abf2f-1b63-4cac-8f4e-10c7f6014738.jpg|/uploads/e064a14f-6c30-4fd5-bf0c-08e443683cd5.jpg|/uploads/69fd45a5-0327-41eb-ac01-b4057479333f.jpg|/uploads/992c02a3-23f1-48a0-9981-ba59a760e2d7.jpg|/uploads/cbf4044e-572c-464f-9675-1592869e5031.jpg|/uploads/0587edd7-1e3c-4139-9226-cb8ae1c6d2e1.jpg|/uploads/293ab44b-04a4-4942-944f-58d076888069.jpg|/uploads/f8f67491-1682-45d1-9dbd-ed37880bbff8.jpg
gisors-maison-5983,maison,Maison — 106 m² — Gisors,Gisors,221000,22100000,a_vendre,106,776,6,4,,13,/uploads/283eb27e-6b4d-45f5-babb-e111b48fa89f.jpg|/uploads/d62f0d01-9017-4034-a204-abb82f437913.jpg|/uploads/4c484cdc-4ec6-4697-b2a4-c7d725708eb7.jpg|/uploads/cee97e8b-dcf9-4f6b-9a24-692b7768d5a9.jpg|/uploads/332eef75-cae6-44bd-b3b1-97a9f5033e8c.jpg|/uploads/b8811e70-f1d1-4890-a5d4-b55a563f08df.jpg|/uploads/ad92d02f-3d90-4508-b292-dd45b806bebf.jpg|/uploads/3dc7988f-b5d0-4f62-8ade-d0855fdc669d.jpg|/uploads/25e08386-1d4d-4538-9cee-fc925438f124.jpg|/uploads/6aae15b6-c104-4742-835b-df9ac0ef0634.jpg|/uploads/d491605f-5a69-49dd-8f2f-a87667ca1bde.jpg|/uploads/aa356223-343c-45c5-b519-ba16ce3755f9.jpg|/uploads/fecf309d-5792-488a-a111-ba38be710550.jpg
gisors-maison-5976,maison,Maison — 84 m² — Gisors,Gisors,225000,22500000,a_vendre,84,1005,5,4,,10,/uploads/d82c0f59-6a22-433b-8139-a7f4ad510e37.jpg|/uploads/6d951caa-e4e4-40a2-91bc-2449b80fba5b.jpg|/uploads/bd2c19d3-0250-4922-94e8-000bae5ed50c.jpg|/uploads/a29ef319-21e2-41ab-b4ce-4e9b28196158.jpg|/uploads/6ebeee48-16a4-49c0-81ae-b95774a3363c.jpg|/uploads/6edab42b-6e2a-466e-b8c6-eefe5cd3fafb.jpg|/uploads/2ba29c1c-c64b-4cd8-8eb2-adf40a6ea550.jpg|/uploads/1b060103-7e16-43b8-ae0b-9f90852b00eb.jpg|/uploads/2659d32f-fd48-4ba1-833e-1620f7da57ff.jpg|/uploads/d66ecc00-3c4e-4299-8952-8258973151e0.jpg
gisors-maison-6025,maison,Maison — 112 m² — Gisors,Gisors,235000,23500000,a_vendre,112,488,5,3,,15,/uploads/967c2fc0-8fc3-47e4-9668-1963d394a01b.jpeg|/uploads/694ea4b3-1c69-40ce-ac24-7cc80528b3ea.jpeg|/uploads/a0e5a2e6-507f-453e-a8f7-025a2f160890.jpeg|/uploads/2f6aca7d-78e3-4491-a2bc-84acf01d1734.jpeg|/uploads/161b82e7-8461-4b22-8bcf-c3e45043774d.jpeg|/uploads/f2e7cd13-0716-4b9d-869b-5af7bf7563a4.jpeg|/uploads/f75b6d18-1d27-4ddd-8eef-28ac9b77a444.jpeg|/uploads/b37282d9-1bbd-4c17-94df-2379a5d4dc90.jpeg|/uploads/375be9e7-4c10-43b3-a794-5a4587171d3e.jpeg|/uploads/73beca6e-d2ef-492e-bdd5-149e1a3974e9.jpeg|/uploads/f7152b28-bed3-4e32-b97e-76917f8c3cf9.jpeg|/uploads/0c55058c-bf93-4c96-86a2-8f4ac7bd1892.jpg|/uploads/8c16dce4-0e1c-4be2-b392-8f4865b99c99.jpeg|/uploads/de0089e8-dac2-4446-a60a-5cb909b26e86.jpeg|/uploads/ebb9f3da-d1f7-4a3f-9b7c-14477e6348a6.jpeg
gisors-maison-6045,maison,Maison — 161 m² — Gisors,Gisors,235000,23500000,a_vendre,161,1147,7,4,,20,/uploads/7e6262d1-4b14-410b-a94e-973ea9bc8d63.jpg|/uploads/9711e26a-9a88-4e3f-959f-0f8e46f0c9e8.jpg|/uploads/f9dad447-10cb-49a4-80ee-9c4f9a6e99cb.jpg|/uploads/00280db5-c5b5-4235-a7b6-95e9e9cb90eb.jpg|/uploads/6147b556-45bc-4d4e-be12-d145738614c2.jpg|/uploads/160463b7-3b92-4164-8f2d-46e180e8b47a.jpg|/uploads/7f17c9e3-f2af-48f8-a1ab-9fe9d15d6115.jpg|/uploads/74f5bd2f-2517-42e5-a5ef-641a3e4bba4b.jpg|/uploads/0dcd658f-171b-411e-b20e-670864440ffa.jpg|/uploads/14cd1c72-1e35-4164-93ec-c54162ae3e38.jpg|/uploads/1757861d-20d8-4b4e-9edc-290c4f72c7c6.jpg|/uploads/eaaa03e0-b0dd-49a0-b42c-d6a0e01e15e6.jpg|/uploads/b7c4b100-b43c-4d3f-93ee-feb035cf0541.jpg|/uploads/4c5f7ce8-4007-4172-aabe-3fcaa7227d15.jpg|/uploads/cf82644c-f7b1-4aed-9ef7-d230769f4e02.jpg|/uploads/2268ff1b-fb67-4e0f-86e9-0a633fceefd8.jpg|/uploads/9425fdb2-0225-40cc-a279-df6683688692.jpg|/uploads/a48e409e-cd14-4327-98e9-db7c0433ba68.jpg|/uploads/ffb7348d-871d-4f82-b937-1513991b94f2.jpg|/uploads/97ba2296-7b80-4be2-b582-7503074843da.jpg
gisors-maison-6051,maison,Maison — 100 m² — Gisors,Gisors,241000,24100000,a_vendre,100,661,6,3,,10,/uploads/6210f4a5-31d5-4803-a382-b8abfb90eb04.jpg|/uploads/03ba8999-9d04-40a3-8510-0a1131ae4efb.jpg|/uploads/18209b8b-6574-45ad-b004-e1553764491b.jpg|/uploads/f06fdbd3-7d01-4872-ae0b-baf724b6dcd3.jpg|/uploads/8d063f18-ab0e-4d50-81e7-439cbd975904.jpg|/uploads/63a63924-3190-488d-a71a-9b1216cc9ad7.jpg|/uploads/eb13658c-15d2-4a7c-946d-76fb45c4026a.jpg|/uploads/21d9bb5d-5e2e-4024-b33f-c7585d92e72c.jpg|/uploads/260692e7-4805-41dd-8250-1a1853ed2665.jpg|/uploads/94bbfde6-8f35-4960-a7f0-4c8fcf309631.jpeg
gisors-appartement-5241,appartement,Appartement — 91 m² — Gisors,Gisors,241000,24100000,a_vendre,91,0,6,4,,12,/uploads/75755ef5-16a2-4215-bbeb-1a62352a06cc.jpg|/uploads/1876d18a-3f7d-4999-91c0-8cfe9c78d5a1.jpg|/uploads/a6e448bb-bc81-4144-90b0-7b53fea1901a.jpg|/uploads/c4fa4fac-5d20-4317-b904-73656b79a884.jpg|/uploads/50a0e0bf-894e-4628-a6c4-f77a5b455e63.jpg|/uploads/25555d57-02bb-4abf-9ff1-f9ac9a95e3ce.jpg|/uploads/784db84f-eb51-4eb5-a40e-240f1a62bdf7.jpg|/uploads/e424b6b2-62af-468d-b33e-7ba8c23fd8b6.jpg|/uploads/ca9aad18-4068-4323-9633-8609dd3e23e9.jpg|/uploads/6d9d47d8-f332-4cd5-8458-cc692e667522.jpg|/uploads/2ebe3741-2c1c-42e1-93a9-07ec7b3ea17c.jpg|/uploads/289b2678-7ea8-4dee-bd6f-adac035345bb.jpg
gisors-appartement-5810,appartement,Appartement — 185 m² — Gisors,Gisors,249000,24900000,a_vendre,185,0,5,2,,9,/uploads/9921eed8-664f-444c-9884-d2830f2f7092.jpg|/uploads/6ed9f737-2bd4-49f5-bcac-90d67272135d.jpg|/uploads/49891449-cb5b-4a64-a273-51ebc284ecc7.jpg|/uploads/cc5a8fe6-9495-45f9-bce9-2a0ca1c6d0e0.jpeg|/uploads/b152279d-73e6-4519-9597-fcf6b7b27d0a.jpg|/uploads/336ba0ab-2904-4ad3-a2c8-c3d2f515787d.jpeg|/uploads/7a1b78b8-b7f2-48ca-b5c1-089be09e7d2c.jpeg|/uploads/c5026a95-3c60-4bb8-af58-33917b25da42.jpeg|/uploads/4eccec8d-cf5e-4192-9671-52f53aba3887.jpeg
